Approved symbol,Approved name,Accession numbers,UniProt ID,ENTREZ ID,Ensembl ID
PINLYP,phospholipase A2 inhibitor and LY6/PLAUR domain containing,,A6NC86,390940,ENSG00000234465
ARL6IP1P1,ADP ribosylation factor like GTPase 6 interacting protein 1 pseudogene 1,,,100288702,ENSG00000255664
PRAMEF33,PRAME family member 33,,A0A0G2JMD5,645382,ENSG00000237700
AL353354.2,,,,,
CTA-298G8.2,,,,,
RP11-678G14.3,,,,,
C1DP2,C1D nuclear receptor corepressor pseudogene 2,,,642538,ENSG00000236217
RP11-293M10.2,,,,,
PSMG3-AS1,PSMG3 antisense RNA 1 (head to head),,Q96PY0,114796,ENSG00000230487
RP11-439L18.1,,,,,
CTD-2249K22.1,,,,,
YDL211C,,,,,
ZBTB32,zinc finger and BTB domain containing 32,AF130255,Q9Y2Y4,27033,ENSG00000011590
TOM5,,,,,
RET,ret proto-oncogene,BC004257,P07949,5979,ENSG00000165731
NUTF2P3,nuclear transport factor 2 pseudogene 3,,,106480298,ENSG00000228248
CGB8,chorionic gonadotropin subunit beta 8,BG435249,P0DN86,94115,ENSG00000213030
RP11-108F13.2,,,,,
RP11-756G12.1,,,,,
ITGB6,integrin subunit beta 6,,P18564,3694,ENSG00000115221
SSL1,,,,,
CTD-2532D12.5,,,,,
CTD-2196E14.9,,,,,
TRH,thyrotropin releasing hormone,,P20396,7200,ENSG00000170893
ybaX,,,,,
LINC01875,long intergenic non-protein coding RNA 1875,,,101927362,ENSG00000225942
ABCA17P,"ATP binding cassette subfamily A member 17, pseudogene",DQ266102,,650655,ENSG00000238098
hns,,,,,
MARK3P3,microtubule affinity regulating kinase 3 pseudogene 3,,,100533754,ENSG00000243022
SPAC926.02,,,,,
CSM1,,,,,
NANOGP3,Nanog homeobox pseudogene 3,,,340217,ENSG00000271373
RPL7P20,ribosomal protein L7 pseudogene 20,,,728843,ENSG00000254252
UBC6,,,,,
UTP11L,,,,,
SNORD114-17,"small nucleolar RNA, C/D box 114-17",,,767595,ENSG00000201569
OVGP1,oviductal glycoprotein 1,U09550,Q12889,5016,ENSG00000085465
RP11-350J20.12,,,,,
RNU6-1229P,"RNA, U6 small nuclear 1229, pseudogene",,,106481568,ENSG00000201165
IGHVII-53-1,immunoglobulin heavy variable (II)-53-1 (pseudogene),AB019438,,28362,ENSG00000253714
RPL14,ribosomal protein L14,D87735,P50914,9045,ENSG00000188846
RNU6-1055P,"RNA, U6 small nuclear 1055, pseudogene",,,107105256,ENSG00000212387
KRT5,keratin 5,,P13647,3852,ENSG00000186081
VNN3,vanin 3,AJ238982,Q9NY84,55350,ENSG00000093134
B4GALNT4,"beta-1,4-N-acetyl-galactosaminyltransferase 4",AB089939,Q76KP1,338707,ENSG00000182272
Mov10,,,,,
ycfS,,,,,
GTF2IP20,general transcription factor IIi pseudogene 20,,,441124,ENSG00000272645
LINC00374,long intergenic non-protein coding RNA 374,BG190276,,,ENSG00000232954
RP3-483K16.4,,,,,
RN7SKP19,"RNA, 7SK small nuclear pseudogene 19",,,106479103,ENSG00000251825
FAM24B,family with sequence similarity 24 member B,BC031343,Q8N5W8,196792,ENSG00000213185
TCP11X3P,"t-complex 11 family, X-linked 3, pseudogene",,,,ENSG00000251525
SPATA8,spermatogenesis associated 8,AY489187,Q6RVD6,145946,ENSG00000185594
upp,,,,,
XKRYP6,"XK related, Y-linked pseudogene 6",,,379033,ENSG00000237546
CIPC,CLOCK interacting pacemaker,AB051524,Q9C0C6,85457,ENSG00000198894
RP11-544H14.1,,,,,
RP1-118J21.25,,,,,
DHRS7B,dehydrogenase/reductase 7B,BC004126,Q6IAN0,25979,ENSG00000109016
LOC100268168,,,,,
RP11-738G5.1,,,,,
DNM1P29,dynamin 1 pseudogene 29,AJ576303,,100132204,
MIR4693,microRNA 4693,,,100616457,
Y_RNA.373,,,,,
CDNF,cerebral dopamine neurotrophic factor,BC037872,Q49AH0,441549,ENSG00000185267
AC092143.1,,,,,
